Stat_ID,Stat_FullName,ish_lite_ufschem_v1
MB,Mean_Bias,-0.75
MdnB,Median_Bias,-0.7
R2,Coefficient_of_Determination_(R2),0.75
RMSE,Root_Mean_Square_Error,2.56
MAE,Mean_Absolute_Error,1.82
MSE,Mean_Squared_Error,6.57
